Unnamed: 0,English,Korean
0,you,너
2,the,그만큼
3,to,에게
4,a,에이
5,it,그것
7,that,저것
8,of,~의
9,is,~이다
11,what,무엇
12,we,우리
13,me,나
14,this,이것
15,he,그
16,for,~을 위한
17,my,나의
18,on,~에
19,have,가지다
20,your,당신의
21,do,하다
22,was,~였다
23,no,아니요
24,not,~ 아니다
25,be,BE
26,are,~이다
27,don,두목
28,know,알다 
29,can,~할 수 있다
30,with,~와 함께
31,but,하지만
32,all,모두
33,so,그래서
34,just,단지
35,there,거기
36,here,여기
37,they,그들
38,like,좋다
39,get,얻다
40,she,그녀
41,go,가다
42,if,만약에
43,right,오른쪽
44,out,밖으로
45,about,~에 대한
46,up,위로
47,at,~에
48,him,그를
49,now,지금
50,oh,오
51,one,하나
52,come,오다
53,well,잘
54,her,그녀의
55,how,어떻게
56,yeah,응
57,will,~ 할 것이다
58,got,갖다
59,want,원하다
60,think,생각하다
61,as,~처럼
62,see,보다
63,did,했다
64,good,좋은
65,who,WHO
66,why,왜
67,from,~에서
68,let,허락하다
69,his,그의
70,yes,예
71,when,언제
72,going,가고 있다
73,time,시간
74,an,한
75,okay,좋아요
76,back,뒤쪽에
77,look,바라보다
78,us,우리를
79,would,~일 것이다
80,them,그들을
81,where,어디
82,were,~이었다
83,take,가져가다
84,then,그 다음에
85,had,가졌다
86,or,또는
87,been,계속 ~ 이다
88,our,우리의
89,gonna,갈거야
90,tell,말하다
91,really,정말
92,man,남성
93,some,일부
94,say,말하다
95,hey,여기요
96,could,~할 수 있었다
97,by,~에 의해
98,need,필요
99,something,무엇
100,has,가지다
101,too,~도
102,more,더
103,way,방법
104,down,아래에
105,make,만들다
106,very,매우
107,never,절대
108,only,오직
109,people,사람들
110,over,~ 위에
111,because,왜냐하면
112,little,작은
113,please,제발
114,love,사랑
115,should,~해야 한다
116,mean,평균
117,said,말했다
118,sorry,죄송합니다
119,give,주다
120,off,끄다
121,am,~이다
122,thank,감사하다
123,any,어느
124,two,둘
125,even,심지어
126,much,많이
127,doing,행위
128,sure,확신하는
129,thing,물건
130,these,이것들
131,help,돕다
132,first,첫 번째
133,into,~ 안으로
134,anything,아무것
135,still,아직
136,find,찾다
137,life,삶
138,nothing,아무것도 아님
139,sir,선생님
140,day,낮
141,god,하나님
142,work,일하다
143,their,그들의
144,uh,음
145,again,다시
146,maybe,아마도
147,must,~ 해야 하다
148,before,~ 전에
149,other,다른
150,wait,기다리다
151,stop,멈추다
152,call,부르다
153,after,~ 후에
154,won,이겼다
155,talk,말하다
156,away,떨어져 있는
157,than,~보다
158,thought,생각
159,home,집
160,night,밤
161,put,놓다
162,great,엄청난
163,those,저것들
164,last,마지막
165,better,더 나은
166,everything,모든 것
167,told,말했다
168,mr.,씨.
169,new,새로운
170,things,것들
171,always,언제나
172,keep,유지하다
173,long,긴
